"filename", "language", "SCSS", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Footer/style.module.scss", "SCSS", 253, 0, 0, 0, 12, 265
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/FreeStuff/Projects/index.jsx", "JavaScript JSX", 0, 68, 0, 1, 6, 75
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/FreeStuff/Projects/style.module.scss", "SCSS", 49, 0, 0, 0, 0, 49
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/FreeStuff/index.jsx", "JavaScript JSX", 0, 84, 0, 1, 21, 106
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/FreeStuff/style.module.scss", "SCSS", 76, 0, 0, 0, 5, 81
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/anim.js", "JavaScript", 0, 0, 72, 0, 7, 79
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/index.jsx", "JavaScript JSX", 0, 49, 0, 58, 18, 125
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/nav/Body/index.jsx", "JavaScript JSX", 0, 40, 0, 0, 4, 44
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/nav/Body/style.module.scss", "SCSS", 30, 0, 0, 0, 6, 36
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/nav/Curve/index.jsx", "JavaScript JSX", 0, 29, 0, 4, 9, 42
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/nav/Curve/style.module.scss", "SCSS", 10, 0, 0, 0, 0, 10
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/nav/Footer/index.jsx", "JavaScript JSX", 0, 56, 0, 1, 5, 62
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/nav/Footer/style.module.scss", "SCSS", 60, 0, 0, 0, 9, 69
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/nav/Image/index.jsx", "JavaScript JSX", 0, 16, 0, 0, 1, 17
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/nav/Image/style.module.scss", "SCSS", 16, 0, 0, 0, 5, 21
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/nav/index.jsx", "JavaScript JSX", 0, 49, 0, 0, 4, 53
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/nav/style.module.scss", "SCSS", 22, 0, 0, 0, 4, 26
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/style.module.scss", "SCSS", 113, 0, 0, 0, 20, 133
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/IntroText/index.jsx", "JavaScript JSX", 0, 67, 0, 12, 15, 94
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/IntroText/style.module.scss", "SCSS", 54, 0, 0, 0, 1, 55
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Navbar/index.jsx", "JavaScript JSX", 0, 45, 0, 4, 7, 56
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Navbar/style.module.scss", "SCSS", 190, 0, 0, 0, 9, 199
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/ParallaxZoom/index.jsx", "JavaScript JSX", 0, 162, 0, 3, 15, 180
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/ParallaxZoom/style.module.scss", "SCSS", 106, 0, 0, 0, 4, 110
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Sections/index.jsx", "JavaScript JSX", 0, 69, 0, 1, 8, 78
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/transition/CurveTransition/animations.js", "JavaScript", 0, 0, 50, 0, 3, 53
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/transition/CurveTransition/index.jsx", "JavaScript JSX", 0, 84, 0, 0, 11, 95
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/transition/CurveTransition/style.module.scss", "SCSS", 43, 0, 0, 0, 1, 44
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/animated-tooltip.jsx", "JavaScript JSX", 0, 72, 0, 2, 3, 77
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/chart.jsx", "JavaScript JSX", 0, 274, 0, 2, 34, 310
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/clickButton.jsx", "JavaScript JSX", 0, 45, 0, 0, 4, 49
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/clickButton.module.scss", "SCSS", 80, 0, 0, 0, 6, 86
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/linkButton.jsx", "JavaScript JSX", 0, 16, 0, 0, 1, 17
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/linkButton.module.scss", "SCSS", 45, 0, 0, 0, 3, 48
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/phoneButton.jsx", "JavaScript JSX", 0, 33, 0, 1, 4, 38
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/phoneButton.module.scss", "SCSS", 48, 0, 0, 0, 2, 50
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/toast.jsx", "JavaScript JSX", 0, 76, 0, 0, 11, 87
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/toaster.jsx", "JavaScript JSX", 0, 32, 0, 0, 4, 36
