"filename", "language", "JavaScript JSX", "JavaScript", "SCSS", "comment", "blank", "total"
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/StyleChoice/index.jsx", "JavaScript JSX", -22, 0, 0, 0, -2, -24
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/StyleChoice/style.module.scss", "SCSS", 0, 0, 1, 0, 2, 3
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Description/index.jsx", "JavaScript JSX", 53, 0, 0, 1, 7, 61
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Description/style.module.scss", "SCSS", 0, 0, 25, 0, 2, 27
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Footer/index.jsx", "JavaScript JSX", 164, 0, 0, 42, 41, 247
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Footer/style.module.scss", "SCSS", 0, 0, 253, 0, 12, 265
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/FreeStuff/Projects/index.jsx", "JavaScript JSX", 68, 0, 0, 1, 6, 75
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/FreeStuff/Projects/style.module.scss", "SCSS", 0, 0, 49, 0, 0, 49
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/FreeStuff/index.jsx", "JavaScript JSX", 84, 0, 0, 1, 21, 106
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/FreeStuff/style.module.scss", "SCSS", 0, 0, 76, 0, 5, 81
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/anim.js", "JavaScript", 0, 72, 0, 0, 7, 79
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/index.jsx", "JavaScript JSX", 49, 0, 0, 58, 18, 125
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/nav/Body/index.jsx", "JavaScript JSX", 40, 0, 0, 0, 4, 44
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/nav/Body/style.module.scss", "SCSS", 0, 0, 30, 0, 6, 36
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/nav/Curve/index.jsx", "JavaScript JSX", 29, 0, 0, 4, 9, 42
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/nav/Curve/style.module.scss", "SCSS", 0, 0, 10, 0, 0, 10
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/nav/Footer/index.jsx", "JavaScript JSX", 56, 0, 0, 1, 5, 62
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/nav/Footer/style.module.scss", "SCSS", 0, 0, 60, 0, 9, 69
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/nav/Image/index.jsx", "JavaScript JSX", 16, 0, 0, 0, 1, 17
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/nav/Image/style.module.scss", "SCSS", 0, 0, 16, 0, 5, 21
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/nav/index.jsx", "JavaScript JSX", 49, 0, 0, 0, 4, 53
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/nav/style.module.scss", "SCSS", 0, 0, 22, 0, 4, 26
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Header/style.module.scss", "SCSS", 0, 0, 113, 0, 20, 133
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/IntroText/index.jsx", "JavaScript JSX", 67, 0, 0, 12, 15, 94
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/IntroText/style.module.scss", "SCSS", 0, 0, 54, 0, 1, 55
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Navbar/index.jsx", "JavaScript JSX", 45, 0, 0, 4, 7, 56
