"filename", "language", "JavaScript", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/Scene/style.module.scss", "SCSS", 0, 7, 0, 0, 0, 7
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/Shader/index.js", "JavaScript", 24, 0, 0, 3, 3, 30
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/data.js", "JavaScript", 30, 0, 0, 0, 0, 30
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/index.jsx", "JavaScript JSX", 0, 0, 20, 1, 2, 23
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/styles.module.scss", "SCSS", 0, 22, 0, 0, 1, 23
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/OfferSections/Design/index.jsx", "JavaScript JSX", 0, 0, 95, 1, 9, 105
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/OfferSections/Design/style.module.scss", "SCSS", 0, 88, 0, 0, 5, 93
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/OfferSections/Sales/index.jsx", "JavaScript JSX", 0, 0, 95, 1, 8, 104
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/OfferSections/Sales/style.module.scss", "SCSS", 0, 90, 0, 2, 4, 96
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/OfferSections/Services/index.jsx", "JavaScript JSX", 0, 0, 95, 1, 8, 104
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/OfferSections/Services/style.module.scss", "SCSS", 0, 87, 0, 0, 4, 91
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/OfferSections/index.jsx", "JavaScript JSX", 0, 0, 32, 0, 6, 38
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/OfferSections/style.module.scss", "SCSS", 0, 33, 0, 0, 2, 35
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/ParallaxZoom/index.jsx", "JavaScript JSX", 0, 0, 169, 3, 19, 191
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/ParallaxZoom/style.module.scss", "SCSS", 0, 108, 0, 0, 4, 112
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/Slider/index.jsx", "JavaScript JSX", 0, 0, 230, 2, 20, 252
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/Slider/style.module.scss", "SCSS", 0, 66, 0, 0, 5, 71
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/MaterialsPage/FreeStuff/Projects/index.jsx", "JavaScript JSX", 0, 0, 68, 1, 5, 74
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/MaterialsPage/FreeStuff/Projects/style.module.scss", "SCSS", 0, 49, 0, 0, 0, 49
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/MaterialsPage/FreeStuff/index.jsx", "JavaScript JSX", 0, 0, 145, 13, 32, 190
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/MaterialsPage/FreeStuff/style.module.scss", "SCSS", 0, 110, 0, 0, 6, 116
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/MaterialsPage/Landing/anim.js", "JavaScript", 32, 0, 0, 2, 1, 35
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/MaterialsPage/Landing/index.jsx", "JavaScript JSX", 0, 0, 73, 2, 12, 87
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/MaterialsPage/Landing/style.module.scss", "SCSS", 0, 54, 0, 0, 5, 59
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Navbar/index.jsx", "JavaScript JSX", 0, 0, 45, 3, 6, 54
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Navbar/style.module.scss", "SCSS", 0, 190, 0, 0, 9, 199
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Preloader/anim.js", "JavaScript", 18, 0, 0, 0, 3, 21
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Preloader/index.jsx", "JavaScript JSX", 0, 0, 42, 1, 8, 51
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Preloader/style.module.scss", "SCSS", 0, 35, 0, 0, 0, 35
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/IconList/index.jsx", "JavaScript JSX", 0, 0, 153, 6, 22, 181
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/IconList/style.module.scss", "SCSS", 0, 79, 0, 0, 3, 82
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/Model/index.jsx", "JavaScript JSX", 0, 0, 70, 10, 13, 93
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/Projects/index.jsx", "JavaScript JSX", 0, 0, 49, 0, 4, 53
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/Projects/styles.module.scss", "SCSS", 0, 58, 0, 0, 6, 64
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/Scene/index.jsx", "JavaScript JSX", 0, 0, 12, 0, 3, 15
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/Scene/style.module.scss", "SCSS", 0, 14, 0, 0, 1, 15
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/Shader/index.js", "JavaScript", 24, 0, 0, 3, 3, 30
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/anim.js", "JavaScript", 79, 0, 0, 1, 5, 85
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/index.jsx", "JavaScript JSX", 0, 0, 117, 2, 12, 131
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/styles.module.scss", "SCSS", 0, 148, 0, 0, 17, 165
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Description/index.jsx", "JavaScript JSX", 0, 0, 58, 1, 8, 67
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Description/style.module.scss", "SCSS", 0, 25, 0, 0, 2, 27
